User-ID,ISBN,Rating,Title,Author,Year,Publisher
276725,034545104X,0,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
276726,0155061224,5,Rites of Passage,Judith Rae,2001,Heinle
276727,0446520802,0,The Notebook,Nicholas Sparks,1996,Warner Books
276729,052165615X,3,Help!: Level 1,Philip Prowse,1999,Cambridge University Press
276729,0521795028,6,The Amsterdam Connection : Level 4 (Cambridge English Readers),Sue Leather,2001,Cambridge University Press
276733,2080674722,0,Les Particules Elementaires,Michel Houellebecq,1998,Flammarion
276744,038550120X,7,A Painted House,JOHN GRISHAM,2001,Doubleday
276746,0425115801,0,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
276746,0449006522,0,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
276746,0553561618,0,Dark Paradise,TAMI HOAG,1994,Bantam
276746,055356451X,0,Night Sins,TAMI HOAG,1995,Bantam
276746,0786013990,0,At the Edge,David Dun,2002,Pinnacle Books
276746,0786014512,0,Make Them Cry,Kevin O'Brien,2002,Pinnacle Books
276747,0060517794,9,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
276747,0451192001,0,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
276747,0609801279,0,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
276747,0671537458,9,Waiting to Exhale,Terry McMillan,1995,Pocket
276747,0679776818,8,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
276747,0943066433,7,How to Deal With Difficult People,Rick Brinkman,1995,Careertrack Inc.
276747,1570231028,0,"Change Your Job, Change Your Life: High Impact Strategies for Finding Great Jobs in the Decade Ahead (Change Your Job Change Your Life, 7th ed)",Ronald L. Krannich,1999,Impact Publications
276747,1885408226,7,The Golden Rule of Schmoozing,Aye Jaye,1998,Listen & Live Audio
276748,0747558167,6,Apricots on the Nile: A Memoir with Recipes,Colette Rossant,2002,Bloomsbury Publishing Plc
276751,3596218098,8,Reise nach Ixtlan. Die Lehre des Don Juan.,Carlos Castaneda,1998,"Fischer (Tb.), Frankfurt"
276754,0684867621,8,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
276755,0451166892,5,The Pillars of the Earth,Ken Follett,1996,Signet Book
276762,034544003X,0,Southampton Row (Charlotte & Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
276762,0380000059,0,CLOUT,D. GIBBONS,2024,Avon
276762,0380711524,5,See Jane Run,Joy Fielding,1992,Avon
276762,0451167317,0,The Dark Half,Stephen King,1994,Signet Book
